1	CWE476_NULL_Pointer_Dereference__binary_if_01_bad	void CWE476_NULL_Pointer_Dereference__binary_if_01_bad() {     {         twoIntsStruct *twoIntsStructPointer = NULL;         /* FLAW: Using a single & in the if statement will cause both sides of the expression to be evaluated          * thus causing a NPD */         if ((twoIntsStructPointer != NULL) & (twoIntsStructPointer->intOne == 5))         {             printLine("intOne == 5");         }     } }
0	good1	static void good1() {     {         twoIntsStruct *twoIntsStructPointer = NULL;         /* FIX: Use && in the if statement so that if the left side of the expression fails then          * the right side will not be evaluated */         if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))         {             printLine("intOne == 5");         }     } }
0	CWE476_NULL_Pointer_Dereference__binary_if_01_good	void CWE476_NULL_Pointer_Dereference__binary_if_01_good() {     good1(); }
1	CWE476_NULL_Pointer_Dereference__binary_if_02_bad	void CWE476_NULL_Pointer_Dereference__binary_if_02_bad() {     if(1)     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FLAW: Using a single & in the if statement will cause both sides of the expression to be evaluated              * thus causing a NPD */             if ((twoIntsStructPointer != NULL) & (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	good1	static void good1() {     if(0)     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         printLine("Benign, fixed string");     }     else     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FIX: Use && in the if statement so that if the left side of the expression fails then              * the right side will not be evaluated */             if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	good2	static void good2() {     if(1)     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FIX: Use && in the if statement so that if the left side of the expression fails then              * the right side will not be evaluated */             if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	CWE476_NULL_Pointer_Dereference__binary_if_02_good	void CWE476_NULL_Pointer_Dereference__binary_if_02_good() {     good1();     good2(); }
1	CWE476_NULL_Pointer_Dereference__binary_if_03_bad	void CWE476_NULL_Pointer_Dereference__binary_if_03_bad() {     if(5==5)     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FLAW: Using a single & in the if statement will cause both sides of the expression to be evaluated              * thus causing a NPD */             if ((twoIntsStructPointer != NULL) & (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	good1	static void good1() {     if(5!=5)     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         printLine("Benign, fixed string");     }     else     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FIX: Use && in the if statement so that if the left side of the expression fails then              * the right side will not be evaluated */             if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	good2	static void good2() {     if(5==5)     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FIX: Use && in the if statement so that if the left side of the expression fails then              * the right side will not be evaluated */             if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	CWE476_NULL_Pointer_Dereference__binary_if_03_good	void CWE476_NULL_Pointer_Dereference__binary_if_03_good() {     good1();     good2(); }
1	CWE476_NULL_Pointer_Dereference__binary_if_04_bad	void CWE476_NULL_Pointer_Dereference__binary_if_04_bad() {     if(STATIC_CONST_TRUE)     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FLAW: Using a single & in the if statement will cause both sides of the expression to be evaluated              * thus causing a NPD */             if ((twoIntsStructPointer != NULL) & (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	good1	static void good1() {     if(STATIC_CONST_FALSE)     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         printLine("Benign, fixed string");     }     else     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FIX: Use && in the if statement so that if the left side of the expression fails then              * the right side will not be evaluated */             if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	good2	static void good2() {     if(STATIC_CONST_TRUE)     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FIX: Use && in the if statement so that if the left side of the expression fails then              * the right side will not be evaluated */             if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	CWE476_NULL_Pointer_Dereference__binary_if_04_good	void CWE476_NULL_Pointer_Dereference__binary_if_04_good() {     good1();     good2(); }
1	CWE476_NULL_Pointer_Dereference__binary_if_05_bad	void CWE476_NULL_Pointer_Dereference__binary_if_05_bad() {     if(staticTrue)     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FLAW: Using a single & in the if statement will cause both sides of the expression to be evaluated              * thus causing a NPD */             if ((twoIntsStructPointer != NULL) & (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	good1	static void good1() {     if(staticFalse)     {         /* INCIDENTAL: CWE 561 Dead Code, the code below will never run */         printLine("Benign, fixed string");     }     else     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FIX: Use && in the if statement so that if the left side of the expression fails then              * the right side will not be evaluated */             if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
0	good2	static void good2() {     if(staticTrue)     {         {             twoIntsStruct *twoIntsStructPointer = NULL;             /* FIX: Use && in the if statement so that if the left side of the expression fails then              * the right side will not be evaluated */             if ((twoIntsStructPointer != NULL) && (twoIntsStructPointer->intOne == 5))             {                 printLine("intOne == 5");             }         }     } }
